UTM Source,UTM Medium,UTM Campaign,UTM Content,UTM Term
,,,prof_pentest_demo2_100226_2,prof_pentest_demo_250226_01
,,,prof_pentest_demo2_100226_3,prof_pentest_demo_250226_02
,,,prof_pentest_demo_070226,prof_pentest_demo_2_070226
,,,prof_pentest_demo_090226,prof_soc_demo_070226
,,,prof_pentest_demo_1002226_2,prof_soc_demo_090226
,,,prof_pentest_demo_250226_01,prof_soc_demo_1002226
,,,prof_pentest_demo_250226_02,prof_soc_demo_2_070226
,,,prof_pentest_demo_2_070226,rof_pentest_demo_240226_01
,,,prof_soc_demo_070226,soc аналитик слив курса_none
,,,prof_soc_demo_090226,soc_pay_120226_1
,,,prof_soc_demo_1002226,start_120226_2
,,,prof_soc_demo_2_070226,test041225_01
,,,r-301,test051225_01
,,,r-317-10-11,test060226
,,,r-319-22-02,test230126_03
,,,r-430-20-08%3Ferid%3D2VtzqwGkyws,test230126_05
,,,rof_pentest_demo_240226_01,test241125_02_apentester
,,,soc_pay_120226_1,test_040326_1_how_to_find_a_job_for_a_beginner
,,,start_120226_2,test_110326_01
,,,test041225_01,undefined
,,,test051225_01,Unknown UTM Term
,,,test060226,{keyword}
,,,test230126_03,{keyword}_{source}
,,,test230126_05,аналитик soc бесплатный курс_yandex.ru
,,,test241125_02_apentester,аналитик soc вакансии_none
,,,test_040326_1_how_to_find_a_job_for_a_beginner,аналитик soc_none
,,,test_110326_01,веб пентест курс_yandex.ru
,,,undefined,веб пентест_trychatgpt.ru
,,,Unknown UTM Content,веб пентест_www.avito.ru
,,,w-4-17-01,веб пентест_yandex.com
,,,{ad_id},информзащита обучение
,,,Москва.desktop.none.16975561347,кибербезопасность обучение
,,,Москва.desktop.none.16975561350,кибербезопасность обучение_none
,,,Москва.desktop.none.16975561359,кибербезопасность обучение_yandex.ru
,,,Москва.mobile.none.16975561359,книги по пентесту_none
,,,Москва.mobile.none.16996792083,кодебай академия отзывы
,,,Санкт-Петербург.mobile.none.16975561347,курс аналитик soc_yandex.ru
,,,Санкт-Петербург.mobile.none.16975561359,курс от cyber ed анализ мобильные приложения
,,,Санкт-Петербург.mobile.none.16975561366,курс этичный хакинг бесплатно_mail.yandex.ru
,,,Санкт-Петербург.mobile.none.16975561380,курсы по кибербезопасности_none
,,,,курсы по пентесту владивосток
,,,,курсы по пентесту_none
,,,,лучшие курсы по пентесту_none
,,,,обеспечение защиты критической информационной инфраструктуры_none
,,,,обучение детей кибербезопасности_none
,,,,обучение кибербезопасности высшее образование_yandex.ru
,,,,отус обучение_dzen.ru
,,,,пентест бесплатно_yandex.ru
,,,,пентест гпт_none
,,,,пентест обучение
,,,,пентест обучение_none_Большие Вязёмы_desktop
,,,,пентест принтера_yandex.ru
,,,,пентест_cloud.mail.ru
,,,,пентест_mail.yandex.ru
,,,,пентест_none
,,,,пентест_yandex.ru
,,,,пентестер вакансии_none
,,,,пентестер лучший курс
,,,,пентестер москва_togliatti.hh.ru
,,,,пентестер обучение_none
,,,,пентестер обучение_www.gismeteo.ru
,,,,пентестер_mail.yandex.ru
,,,,пентестер_none
,,,,пентестер_ru.drivemusic.me
,,,,пентестер_www.yandex.ru
,,,,пентестер_yandex.ru
,,,,профессия пентестер_yandex.ru
,,,,сайберэд
,,,,слитые курсы по кибербезопасности_yandex.ru
,,,,специалист по кибербезопасности обучение бесплатно_none
,,,,специалист по кибербезопасности обучение с нуля_none
,,,,специалист по кибербезопасности обучение_none
,,,,специалист по кибербезопасности обучение_yandex.ru
,,,,стажер soc аналитик_none
,,,,тестирование на проникновение информационной системы_none
,,,,тестирование на проникновение обучение_none
,,,,этичный хакинг курс_yandex.ru
,,,,этичный хакинг_none
,,,,этичный хакинг_rus.hitmotop.com
,,,,этичный хакинг_ya.ru
,,,,
